dot_code,iata_code,source,median_err_mi
14109,PIB,vote,0.0
14113,PIH,vote,0.088
14122,PIT,vote,1.06
14150,PLN,vote,0.004
14193,PNS,vote,1.03
14252,PSC,vote,0.66
14254,PSE,vote,2.53
14256,PSG,vote,0.096
14262,PSP,vote,1.033
14307,PVD,vote,1.107
14321,PWM,vote,0.801
14457,RAP,vote,0.757
14487,RDD,vote,0.726
14489,RDM,vote,0.86
14492,RDU,vote,0.725
14520,RHI,vote,0.449
14524,RIC,vote,0.86
14543,RKS,vote,0.393
14570,RNO,vote,1.154
14574,ROA,vote,0.523
14576,ROC,vote,0.53
14588,ROW,vote,0.461
14633,RST,vote,0.121
14635,RSW,vote,1.979
14674,SAF,vote,1.267
14679,SAN,vote,2.512
14683,SAT,vote,1.37
14685,SAV,vote,0.763
14689,SBA,vote,0.821
14696,SBN,vote,0.891
14698,SBP,vote,0.677
14709,SCC,vote,1.421
14711,SCE,vote,1.35
14730,SDF,vote,1.014
14747,SEA,vote,1.525
14771,SFO,vote,1.854
14783,SGF,vote,0.658
14794,SGU,vote,2.099
14814,SHV,vote,0.601
14828,SIT,vote,0.307
14831,SJC,vote,1.758
14842,SJT,vote,0.409
14843,SJU,vote,1.518
14869,SLC,vote,0.757
14893,SMF,vote,1.641
14905,SMX,vote,0.14
14908,SNA,vote,1.347
14952,SPI,vote,0.327
14960,SPS,vote,0.151
14986,SRQ,vote,1.634
15016,STL,vote,1.147
15024,STT,vote,2.335
15027,STX,vote,0.111
15041,SUN,vote,0.099
15048,SUX,vote,1.096
15070,SWF,vote,2.013
15096,SYR,vote,0.849
15249,TLH,vote,1.178
15295,TOL,vote,0.221
15304,TPA,vote,1.487
15323,TRI,geometric,0.28
15356,TTN,vote,1.631
15370,TUL,vote,0.953
15376,TUS,vote,0.888
15380,TVC,vote,0.453
15389,TWF,vote,0.402
15401,TXK,vote,0.676
15411,TYR,vote,0.639
15412,TYS,vote,0.514
15607,VLD,vote,0.594
15624,VPS,vote,0.807
15841,WRG,vote,0.03
15919,XNA,vote,1.25
15991,YAK,vote,0.992
16218,YUM,vote,0.239
